utterance_str	utterance_lst
sugar fed man girl	['sugar', 'fed', 'man', 'girl']
sugar girl fed man	['sugar', 'girl', 'fed', 'man']
eggs woman boy fed	['eggs', 'woman', 'boy', 'fed']
eggs fed woman boy	['eggs', 'fed', 'woman', 'boy']
eggs boy fed woman	['eggs', 'boy', 'fed', 'woman']
toast woman boy fed	['toast', 'woman', 'boy', 'fed']
toast fed woman boy	['toast', 'fed', 'woman', 'boy']
toast boy fed woman	['toast', 'boy', 'fed', 'woman']
pizza woman boy fed	['pizza', 'woman', 'boy', 'fed']
pizza fed woman boy	['pizza', 'fed', 'woman', 'boy']
pizza boy fed woman	['pizza', 'boy', 'fed', 'woman']
soup woman boy fed	['soup', 'woman', 'boy', 'fed']
soup fed woman boy	['soup', 'fed', 'woman', 'boy']
soup boy fed woman	['soup', 'boy', 'fed', 'woman']
sugar woman boy fed	['sugar', 'woman', 'boy', 'fed']
sugar fed woman boy	['sugar', 'fed', 'woman', 'boy']
sugar boy fed woman	['sugar', 'boy', 'fed', 'woman']
eggs woman girl fed	['eggs', 'woman', 'girl', 'fed']
eggs fed woman girl	['eggs', 'fed', 'woman', 'girl']
eggs girl fed woman	['eggs', 'girl', 'fed', 'woman']
toast woman girl fed	['toast', 'woman', 'girl', 'fed']
toast fed woman girl	['toast', 'fed', 'woman', 'girl']
toast girl fed woman	['toast', 'girl', 'fed', 'woman']
pizza woman girl fed	['pizza', 'woman', 'girl', 'fed']
pizza fed woman girl	['pizza', 'fed', 'woman', 'girl']
pizza girl fed woman	['pizza', 'girl', 'fed', 'woman']
soup woman girl fed	['soup', 'woman', 'girl', 'fed']
soup fed woman girl	['soup', 'fed', 'woman', 'girl']
soup girl fed woman	['soup', 'girl', 'fed', 'woman']
sugar woman girl fed	['sugar', 'woman', 'girl', 'fed']
sugar fed woman girl	['sugar', 'fed', 'woman', 'girl']
sugar girl fed woman	['sugar', 'girl', 'fed', 'woman']
eggs took man	['eggs', 'took', 'man']
toast took man	['toast', 'took', 'man']
pizza took man	['pizza', 'took', 'man']
tea took man	['tea', 'took', 'man']
coffee took man	['coffee', 'took', 'man']
soup took man	['soup', 'took', 'man']
sugar took man	['sugar', 'took', 'man']
book took man	['book', 'took', 'man']
letter took man	['letter', 'took', 'man']
package took man	['package', 'took', 'man']
gift took man	['gift', 'took', 'man']
eggs took woman	['eggs', 'took', 'woman']
toast took woman	['toast', 'took', 'woman']
pizza took woman	['pizza', 'took', 'woman']
tea took woman	['tea', 'took', 'woman']
coffee took woman	['coffee', 'took', 'woman']
soup took woman	['soup', 'took', 'woman']
sugar took woman	['sugar', 'took', 'woman']
book took woman	['book', 'took', 'woman']
letter took woman	['letter', 'took', 'woman']
package took woman	['package', 'took', 'woman']
gift took woman	['gift', 'took', 'woman']
eggs took boy	['eggs', 'took', 'boy']
toast took boy	['toast', 'took', 'boy']
pizza took boy	['pizza', 'took', 'boy']
tea took boy	['tea', 'took', 'boy']
coffee took boy	['coffee', 'took', 'boy']
soup took boy	['soup', 'took', 'boy']
sugar took boy	['sugar', 'took', 'boy']
book took boy	['book', 'took', 'boy']
letter took boy	['letter', 'took', 'boy']
package took boy	['package', 'took', 'boy']
gift took boy	['gift', 'took', 'boy']
eggs took girl	['eggs', 'took', 'girl']
toast took girl	['toast', 'took', 'girl']
pizza took girl	['pizza', 'took', 'girl']
tea took girl	['tea', 'took', 'girl']
coffee took girl	['coffee', 'took', 'girl']
soup took girl	['soup', 'took', 'girl']
sugar took girl	['sugar', 'took', 'girl']
book took girl	['book', 'took', 'girl']
letter took girl	['letter', 'took', 'girl']
package took girl	['package', 'took', 'girl']
gift took girl	['gift', 'took', 'girl']
letter mailed man	['letter', 'mailed', 'man']
package mailed man	['package', 'mailed', 'man']
gift mailed man	['gift', 'mailed', 'man']
letter mailed woman	['letter', 'mailed', 'woman']
package mailed woman	['package', 'mailed', 'woman']
gift mailed woman	['gift', 'mailed', 'woman']
eggs fed man	['eggs', 'fed', 'man']
toast fed man	['toast', 'fed', 'man']
pizza fed man	['pizza', 'fed', 'man']
soup fed man	['soup', 'fed', 'man']
sugar fed man	['sugar', 'fed', 'man']
eggs fed woman	['eggs', 'fed', 'woman']
toast fed woman	['toast', 'fed', 'woman']
pizza fed woman	['pizza', 'fed', 'woman']
soup fed woman	['soup', 'fed', 'woman']
sugar fed woman	['sugar', 'fed', 'woman']
coffee drank man	['coffee', 'drank', 'man']
tea drank man	['tea', 'drank', 'man']
soup drank man	['soup', 'drank', 'man']
coffee drank woman	['coffee', 'drank', 'woman']
tea drank woman	['tea', 'drank', 'woman']
soup drank woman	['soup', 'drank', 'woman']
coffee drank boy	['coffee', 'drank', 'boy']
tea drank boy	['tea', 'drank', 'boy']
soup drank boy	['soup', 'drank', 'boy']
coffee drank girl	['coffee', 'drank', 'girl']
tea drank girl	['tea', 'drank', 'girl']
soup drank girl	['soup', 'drank', 'girl']
tea borrowed man	['tea', 'borrowed', 'man']
coffee borrowed man	['coffee', 'borrowed', 'man']
sugar borrowed man	['sugar', 'borrowed', 'man']
book borrowed man	['book', 'borrowed', 'man']
tea borrowed woman	['tea', 'borrowed', 'woman']
coffee borrowed woman	['coffee', 'borrowed', 'woman']
sugar borrowed woman	['sugar', 'borrowed', 'woman']
book borrowed woman	['book', 'borrowed', 'woman']
tea borrowed boy	['tea', 'borrowed', 'boy']
coffee borrowed boy	['coffee', 'borrowed', 'boy']
sugar borrowed boy	['sugar', 'borrowed', 'boy']
book borrowed boy	['book', 'borrowed', 'boy']
tea borrowed girl	['tea', 'borrowed', 'girl']
coffee borrowed girl	['coffee', 'borrowed', 'girl']
sugar borrowed girl	['sugar', 'borrowed', 'girl']
book borrowed girl	['book', 'borrowed', 'girl']
eggs ate man	['eggs', 'ate', 'man']
toast ate man	['toast', 'ate', 'man']
pizza ate man	['pizza', 'ate', 'man']
soup ate man	['soup', 'ate', 'man']
sugar ate man	['sugar', 'ate', 'man']
eggs ate woman	['eggs', 'ate', 'woman']
toast ate woman	['toast', 'ate', 'woman']
pizza ate woman	['pizza', 'ate', 'woman']
soup ate woman	['soup', 'ate', 'woman']
sugar ate woman	['sugar', 'ate', 'woman']
eggs ate boy	['eggs', 'ate', 'boy']
toast ate boy	['toast', 'ate', 'boy']
pizza ate boy	['pizza', 'ate', 'boy']
soup ate boy	['soup', 'ate', 'boy']
sugar ate boy	['sugar', 'ate', 'boy']
eggs ate girl	['eggs', 'ate', 'girl']
toast ate girl	['toast', 'ate', 'girl']
pizza ate girl	['pizza', 'ate', 'girl']
soup ate girl	['soup', 'ate', 'girl']
sugar ate girl	['sugar', 'ate', 'girl']
slept man	['slept', 'man']
slept woman	['slept', 'woman']
slept boy	['slept', 'boy']
slept girl	['slept', 'girl']
sat man	['sat', 'man']
sat woman	['sat', 'woman']
sat boy	['sat', 'boy']
sat girl	['sat', 'girl']
ran man	['ran', 'man']
ran woman	['ran', 'woman']
ran boy	['ran', 'boy']
ran girl	['ran', 'girl']
blinked man	['blinked', 'man']
blinked woman	['blinked', 'woman']
blinked boy	['blinked', 'boy']
blinked girl	['blinked', 'girl']
