utterance_lst	utterance_str
['sugar', 'man', 'pizza', 'sugar']	sugar man pizza sugar
['book', 'toast', 'package', 'boy']	book toast package boy
['sugar', 'book', 'package', 'coffee']	sugar book package coffee
['woman', 'man', 'coffee', 'boy']	woman man coffee boy
['soup', 'woman', 'book', 'girl']	soup woman book girl
['man', 'boy', 'pizza', 'tea']	man boy pizza tea
['toast', 'boy', 'coffee', 'gift']	toast boy coffee gift
['tea', 'gift', 'man', 'gift']	tea gift man gift
['package', 'tea', 'coffee', 'tea']	package tea coffee tea
['package', 'man', 'soup', 'tea']	package man soup tea
['eggs', 'sugar', 'sugar', 'woman']	eggs sugar sugar woman
['sugar', 'pizza', 'coffee', 'soup']	sugar pizza coffee soup
['man', 'soup', 'toast', 'package']	man soup toast package
['girl', 'letter', 'sugar', 'soup']	girl letter sugar soup
['package', 'man', 'tea', 'soup']	package man tea soup
['sugar', 'pizza', 'woman', 'boy']	sugar pizza woman boy
['soup', 'boy', 'man', 'toast']	soup boy man toast
['coffee', 'tea', 'man', 'book']	coffee tea man book
['toast', 'book', 'man', 'gift']	toast book man gift
['tea', 'gift', 'gift', 'letter']	tea gift gift letter
['woman', 'toast', 'girl', 'book']	woman toast girl book
['boy', 'girl', 'woman', 'woman']	boy girl woman woman
['gift', 'gift', 'toast', 'book']	gift gift toast book
['coffee', 'coffee', 'toast', 'soup']	coffee coffee toast soup
['girl', 'girl', 'coffee', 'boy']	girl girl coffee boy
['pizza', 'gift', 'man', 'woman']	pizza gift man woman
['book', 'man', 'girl', 'letter']	book man girl letter
['soup', 'girl', 'man', 'eggs']	soup girl man eggs
['eggs', 'letter', 'gift', 'book']	eggs letter gift book
['package', 'package', 'package', 'package']	package package package package
['gift', 'woman', 'eggs', 'girl']	gift woman eggs girl
['soup', 'coffee', 'toast', 'letter']	soup coffee toast letter
['toast', 'girl', 'eggs', 'pizza']	toast girl eggs pizza
['soup', 'tea', 'pizza', 'boy']	soup tea pizza boy
['pizza', 'eggs', 'boy', 'tea']	pizza eggs boy tea
['boy', 'sugar', 'soup', 'boy']	boy sugar soup boy
['soup', 'toast', 'pizza', 'soup']	soup toast pizza soup
['book', 'package', 'book', 'girl']	book package book girl
['tea', 'toast', 'man', 'tea']	tea toast man tea
['coffee', 'package', 'eggs', 'letter']	coffee package eggs letter
['coffee', 'woman', 'sugar', 'eggs']	coffee woman sugar eggs
['tea', 'woman', 'man', 'package']	tea woman man package
['man', 'boy', 'boy', 'woman']	man boy boy woman
['letter', 'gift', 'soup', 'toast']	letter gift soup toast
['package', 'coffee', 'boy', 'sugar']	package coffee boy sugar
['toast', 'eggs', 'eggs', 'toast']	toast eggs eggs toast
['boy', 'soup', 'package', 'tea']	boy soup package tea
['man', 'sugar', 'man', 'coffee']	man sugar man coffee
['letter', 'sugar', 'package', 'book']	letter sugar package book
['eggs', 'boy', 'pizza', 'sugar']	eggs boy pizza sugar
['girl', 'eggs', 'book', 'toast']	girl eggs book toast
['soup', 'tea', 'package', 'man']	soup tea package man
['boy', 'book', 'sugar', 'woman']	boy book sugar woman
['boy', 'girl', 'tea', 'package']	boy girl tea package
['girl', 'girl', 'sugar', 'pizza']	girl girl sugar pizza
['letter', 'gift', 'gift', 'sugar']	letter gift gift sugar
['coffee', 'man', 'letter', 'toast']	coffee man letter toast
['pizza', 'soup', 'gift', 'tea']	pizza soup gift tea
['package', 'gift', 'woman', 'toast']	package gift woman toast
['package', 'book', 'gift', 'boy']	package book gift boy
['coffee', 'package', 'tea', 'sugar']	coffee package tea sugar
['gift', 'boy', 'man', 'letter']	gift boy man letter
['tea', 'girl', 'letter', 'eggs']	tea girl letter eggs
['woman', 'eggs', 'man', 'pizza']	woman eggs man pizza
['book', 'pizza', 'gift', 'man']	book pizza gift man
['boy', 'boy', 'tea', 'boy']	boy boy tea boy
['sugar', 'coffee', 'tea', 'letter']	sugar coffee tea letter
['book', 'package', 'boy', 'toast']	book package boy toast
['gift', 'toast', 'eggs', 'coffee']	gift toast eggs coffee
['boy', 'letter', 'soup', 'woman']	boy letter soup woman
['gift', 'coffee', 'girl', 'soup']	gift coffee girl soup
['gift', 'toast', 'man', 'boy']	gift toast man boy
['man', 'coffee', 'eggs', 'letter']	man coffee eggs letter
['girl', 'man', 'pizza', 'woman']	girl man pizza woman
['eggs', 'girl', 'boy', 'soup']	eggs girl boy soup
['gift', 'toast', 'soup', 'eggs']	gift toast soup eggs
['package', 'tea', 'man', 'book']	package tea man book
['girl', 'man', 'man', 'letter']	girl man man letter
['sugar', 'toast', 'tea', 'sugar']	sugar toast tea sugar
['woman', 'sugar', 'sugar', 'gift']	woman sugar sugar gift
['man', 'tea', 'coffee', 'letter']	man tea coffee letter
['toast', 'soup', 'package', 'toast']	toast soup package toast
['coffee', 'package', 'man', 'gift']	coffee package man gift
['eggs', 'pizza', 'eggs', 'book']	eggs pizza eggs book
['coffee', 'book', 'woman', 'package']	coffee book woman package
['letter', 'sugar', 'girl', 'girl']	letter sugar girl girl
['pizza', 'man', 'gift', 'pizza']	pizza man gift pizza
['gift', 'boy', 'soup', 'book']	gift boy soup book
['soup', 'pizza', 'man', 'pizza']	soup pizza man pizza
['toast', 'gift', 'gift', 'gift']	toast gift gift gift
['gift', 'boy', 'man', 'eggs']	gift boy man eggs
['man', 'woman', 'tea', 'girl']	man woman tea girl
['soup', 'toast', 'eggs', 'gift']	soup toast eggs gift
['boy', 'package', 'coffee', 'soup']	boy package coffee soup
['boy', 'book', 'package', 'boy']	boy book package boy
['coffee', 'soup', 'coffee', 'book']	coffee soup coffee book
['soup', 'eggs', 'sugar', 'book']	soup eggs sugar book
['pizza', 'tea', 'soup', 'coffee']	pizza tea soup coffee
['woman', 'pizza', 'book', 'sugar']	woman pizza book sugar
['woman', 'coffee', 'tea', 'coffee']	woman coffee tea coffee
['boy', 'soup', 'sugar', 'tea']	boy soup sugar tea
['gift', 'tea', 'man', 'eggs']	gift tea man eggs
['sugar', 'woman', 'gift', 'sugar']	sugar woman gift sugar
['book', 'boy', 'man', 'package']	book boy man package
['coffee', 'pizza', 'coffee', 'book']	coffee pizza coffee book
['toast', 'book', 'boy', 'gift']	toast book boy gift
['sugar', 'eggs', 'coffee', 'package']	sugar eggs coffee package
['eggs', 'sugar', 'package', 'gift']	eggs sugar package gift
['girl', 'book', 'soup', 'letter']	girl book soup letter
['woman', 'pizza', 'pizza', 'letter']	woman pizza pizza letter
['pizza', 'man', 'girl', 'letter']	pizza man girl letter
['package', 'tea', 'woman', 'book']	package tea woman book
['letter', 'eggs', 'coffee', 'eggs']	letter eggs coffee eggs
['man', 'book', 'boy', 'woman']	man book boy woman
['package', 'woman', 'book', 'letter']	package woman book letter
['girl', 'toast', 'girl', 'sugar']	girl toast girl sugar
['gift', 'book', 'coffee', 'tea']	gift book coffee tea
['pizza', 'sugar', 'eggs', 'girl']	pizza sugar eggs girl
['sugar', 'girl', 'gift', 'sugar']	sugar girl gift sugar
['boy', 'man', 'tea', 'boy']	boy man tea boy
['coffee', 'soup', 'letter', 'toast']	coffee soup letter toast
['tea', 'letter', 'boy', 'toast']	tea letter boy toast
['letter', 'toast', 'package', 'woman']	letter toast package woman
['woman', 'toast', 'pizza', 'toast']	woman toast pizza toast
['girl', 'pizza', 'package', 'gift']	girl pizza package gift
['soup', 'girl', 'tea', 'boy']	soup girl tea boy
['man', 'book', 'eggs', 'boy']	man book eggs boy
['letter', 'woman', 'girl', 'boy']	letter woman girl boy
['package', 'sugar', 'boy', 'woman']	package sugar boy woman
['package', 'woman', 'sugar', 'sugar']	package woman sugar sugar
['tea', 'coffee', 'pizza', 'eggs']	tea coffee pizza eggs
['soup', 'boy', 'coffee', 'girl']	soup boy coffee girl
['toast', 'package', 'tea', 'soup']	toast package tea soup
['soup', 'man', 'book', 'package']	soup man book package
['book', 'coffee', 'letter', 'gift']	book coffee letter gift
['eggs', 'boy', 'toast', 'man']	eggs boy toast man
['girl', 'woman', 'man', 'toast']	girl woman man toast
['man', 'coffee', 'letter', 'sugar']	man coffee letter sugar
['man', 'sugar', 'boy', 'letter']	man sugar boy letter
['soup', 'tea', 'pizza', 'gift']	soup tea pizza gift
['girl', 'package', 'girl', 'woman']	girl package girl woman
['girl', 'man', 'letter', 'boy']	girl man letter boy
['tea', 'eggs', 'toast', 'book']	tea eggs toast book
['tea', 'eggs', 'book', 'boy']	tea eggs book boy
['man', 'sugar', 'letter', 'book']	man sugar letter book
['sugar', 'package', 'package', 'tea']	sugar package package tea
['boy', 'tea', 'pizza', 'sugar']	boy tea pizza sugar
['toast', 'woman', 'boy', 'boy']	toast woman boy boy
['sugar', 'sugar', 'coffee', 'eggs']	sugar sugar coffee eggs
['sugar', 'pizza', 'coffee', 'boy']	sugar pizza coffee boy
['gift', 'pizza', 'coffee', 'girl']	gift pizza coffee girl
['pizza', 'coffee', 'pizza', 'book']	pizza coffee pizza book
['toast', 'soup', 'sugar', 'boy']	toast soup sugar boy
['letter', 'woman', 'girl', 'letter']	letter woman girl letter
['woman', 'eggs', 'pizza', 'gift']	woman eggs pizza gift
['gift', 'girl', 'soup', 'letter']	gift girl soup letter
['coffee', 'eggs', 'boy', 'woman']	coffee eggs boy woman
['man', 'man', 'sugar', 'tea']	man man sugar tea
['woman', 'gift', 'gift', 'pizza']	woman gift gift pizza
['toast', 'package', 'soup', 'book']	toast package soup book
['boy', 'sugar', 'pizza', 'man']	boy sugar pizza man
['man', 'girl', 'girl', 'eggs']	man girl girl eggs
['package', 'toast', 'girl', 'woman']	package toast girl woman
['man', 'pizza', 'pizza', 'woman']	man pizza pizza woman
['coffee', 'toast', 'man', 'coffee']	coffee toast man coffee
['boy', 'boy', 'book', 'pizza']	boy boy book pizza
['toast', 'tea', 'book', 'soup']	toast tea book soup
['gift', 'sugar', 'toast', 'gift']	gift sugar toast gift
['man', 'boy', 'woman', 'toast']	man boy woman toast
['toast', 'toast', 'soup', 'toast']	toast toast soup toast
['coffee', 'sugar', 'package', 'gift']	coffee sugar package gift
['toast', 'toast', 'gift', 'letter']	toast toast gift letter
['package', 'woman', 'eggs', 'pizza']	package woman eggs pizza
['eggs', 'pizza', 'gift', 'toast']	eggs pizza gift toast
['coffee', 'eggs', 'tea', 'tea']	coffee eggs tea tea
['boy', 'man', 'book', 'letter']	boy man book letter
['toast', 'boy', 'woman', 'soup']	toast boy woman soup
['tea', 'gift', 'sugar', 'tea']	tea gift sugar tea
['tea', 'package', 'package', 'boy']	tea package package boy
['woman', 'woman', 'man', 'letter']	woman woman man letter
['gift', 'coffee', 'book', 'soup']	gift coffee book soup
['soup', 'toast', 'gift', 'eggs']	soup toast gift eggs
['woman', 'man', 'book', 'book']	woman man book book
['letter', 'book', 'girl', 'toast']	letter book girl toast
['eggs', 'letter', 'man', 'eggs']	eggs letter man eggs
['soup', 'soup', 'man', 'woman']	soup soup man woman
['boy', 'girl', 'coffee', 'man']	boy girl coffee man
['letter', 'pizza', 'soup', 'toast']	letter pizza soup toast
['letter', 'woman', 'letter', 'girl']	letter woman letter girl
['coffee', 'tea', 'sugar', 'tea']	coffee tea sugar tea
['sugar', 'man', 'tea', 'coffee']	sugar man tea coffee
['soup', 'woman', 'sugar', 'woman']	soup woman sugar woman
['man', 'man', 'gift', 'boy']	man man gift boy
['sugar', 'man', 'soup', 'girl']	sugar man soup girl
['tea', 'book', 'sugar', 'tea']	tea book sugar tea
['sugar', 'man', 'man', 'girl']	sugar man man girl
['pizza', 'book', 'man', 'girl']	pizza book man girl
['coffee', 'eggs', 'woman', 'eggs']	coffee eggs woman eggs
['man', 'man', 'letter', 'eggs']	man man letter eggs
['sugar', 'girl', 'book', 'package']	sugar girl book package
['man', 'soup', 'package', 'book']	man soup package book
['woman', 'sugar', 'book', 'boy']	woman sugar book boy
['soup', 'soup', 'boy', 'letter']	soup soup boy letter
['letter', 'woman', 'coffee', 'tea']	letter woman coffee tea
['man', 'coffee', 'gift', 'eggs']	man coffee gift eggs
['coffee', 'gift', 'package', 'gift']	coffee gift package gift
['woman', 'gift', 'eggs', 'toast']	woman gift eggs toast
['boy', 'letter', 'tea', 'pizza']	boy letter tea pizza
['coffee', 'coffee', 'tea', 'boy']	coffee coffee tea boy
['sugar', 'girl', 'man', 'gift']	sugar girl man gift
['woman', 'letter', 'book', 'pizza']	woman letter book pizza
['soup', 'girl', 'girl', 'package']	soup girl girl package
['book', 'book', 'pizza', 'man']	book book pizza man
['book', 'gift', 'eggs', 'soup']	book gift eggs soup
['boy', 'gift', 'sugar', 'man']	boy gift sugar man
['sugar', 'sugar', 'pizza', 'tea']	sugar sugar pizza tea
['package', 'sugar', 'coffee', 'gift']	package sugar coffee gift
['soup', 'book', 'tea', 'book']	soup book tea book
['book', 'coffee', 'pizza', 'boy']	book coffee pizza boy
['soup', 'sugar', 'pizza', 'man']	soup sugar pizza man
['sugar', 'soup', 'soup', 'boy']	sugar soup soup boy
['package', 'sugar', 'letter', 'boy']	package sugar letter boy
['eggs', 'coffee', 'man', 'gift']	eggs coffee man gift
['boy', 'boy', 'book', 'girl']	boy boy book girl
['tea', 'soup', 'girl', 'man']	tea soup girl man
['sugar', 'package', 'letter', 'woman']	sugar package letter woman
['toast', 'pizza', 'man', 'package']	toast pizza man package
['letter', 'gift', 'package', 'letter']	letter gift package letter
['eggs', 'soup', 'package', 'man']	eggs soup package man
['woman', 'gift', 'woman', 'package']	woman gift woman package
['toast', 'girl', 'toast', 'package']	toast girl toast package
['soup', 'woman', 'letter', 'toast']	soup woman letter toast
['letter', 'coffee', 'letter', 'tea']	letter coffee letter tea
['toast', 'gift', 'gift', 'tea']	toast gift gift tea
['coffee', 'soup', 'sugar', 'eggs']	coffee soup sugar eggs
['package', 'pizza', 'gift', 'tea']	package pizza gift tea
['package', 'package', 'eggs', 'man']	package package eggs man
['tea', 'tea', 'toast', 'toast']	tea tea toast toast
['eggs', 'woman', 'pizza', 'coffee']	eggs woman pizza coffee
['pizza', 'letter', 'pizza', 'book']	pizza letter pizza book
['book', 'coffee', 'pizza', 'girl']	book coffee pizza girl
['sugar', 'package', 'gift', 'letter']	sugar package gift letter
['gift', 'tea', 'pizza', 'gift']	gift tea pizza gift
['sugar', 'woman', 'letter', 'tea']	sugar woman letter tea
['letter', 'pizza', 'soup', 'tea']	letter pizza soup tea
['soup', 'package', 'toast', 'sugar']	soup package toast sugar
['gift', 'woman', 'letter', 'sugar']	gift woman letter sugar
['pizza', 'man', 'coffee', 'boy']	pizza man coffee boy
['boy', 'coffee', 'soup', 'package']	boy coffee soup package
['soup', 'book', 'tea', 'man']	soup book tea man
['eggs', 'woman', 'soup', 'eggs']	eggs woman soup eggs
['soup', 'toast', 'man', 'girl']	soup toast man girl
['package', 'pizza', 'soup', 'tea']	package pizza soup tea
['pizza', 'sugar', 'package', 'soup']	pizza sugar package soup
['book', 'toast', 'eggs', 'man']	book toast eggs man
['tea', 'man', 'eggs', 'pizza']	tea man eggs pizza
['toast', 'girl', 'pizza', 'package']	toast girl pizza package
['tea', 'soup', 'gift', 'soup']	tea soup gift soup
['gift', 'sugar', 'letter', 'soup']	gift sugar letter soup
['gift', 'tea', 'toast', 'soup']	gift tea toast soup
['woman', 'pizza', 'gift', 'boy']	woman pizza gift boy
['pizza', 'eggs', 'soup', 'letter']	pizza eggs soup letter
['eggs', 'tea', 'man', 'girl']	eggs tea man girl
['pizza', 'soup', 'package', 'package']	pizza soup package package
['coffee', 'girl', 'letter', 'letter']	coffee girl letter letter
['book', 'sugar', 'soup', 'toast']	book sugar soup toast
['tea', 'toast', 'sugar', 'package']	tea toast sugar package
['eggs', 'book', 'woman', 'woman']	eggs book woman woman
['boy', 'eggs', 'pizza', 'toast']	boy eggs pizza toast
['package', 'man', 'letter', 'girl']	package man letter girl
['eggs', 'coffee', 'pizza', 'tea']	eggs coffee pizza tea
['man', 'tea', 'man', 'boy']	man tea man boy
['eggs', 'coffee', 'sugar', 'man']	eggs coffee sugar man
['man', 'pizza', 'girl', 'sugar']	man pizza girl sugar
['letter', 'package', 'gift', 'gift']	letter package gift gift
['girl', 'tea', 'woman', 'tea']	girl tea woman tea
['sugar', 'soup', 'gift', 'toast']	sugar soup gift toast
['pizza', 'package', 'book', 'boy']	pizza package book boy
['toast', 'book', 'man', 'letter']	toast book man letter
['package', 'soup', 'woman', 'tea']	package soup woman tea
['boy', 'package', 'girl', 'man']	boy package girl man
['pizza', 'girl', 'letter', 'boy']	pizza girl letter boy
['woman', 'toast', 'pizza', 'tea']	woman toast pizza tea
['gift', 'toast', 'package', 'woman']	gift toast package woman
['coffee', 'package', 'letter', 'soup']	coffee package letter soup
['woman', 'gift', 'toast', 'soup']	woman gift toast soup
['woman', 'woman', 'pizza', 'book']	woman woman pizza book
['book', 'toast', 'girl', 'tea']	book toast girl tea
['pizza', 'girl', 'woman', 'man']	pizza girl woman man
['woman', 'book', 'gift', 'letter']	woman book gift letter
['sugar', 'pizza', 'eggs', 'coffee']	sugar pizza eggs coffee
['pizza', 'letter', 'gift', 'pizza']	pizza letter gift pizza
['eggs', 'sugar', 'package', 'gift']	eggs sugar package gift
['gift', 'book', 'letter', 'coffee']	gift book letter coffee
['sugar', 'girl', 'gift', 'girl']	sugar girl gift girl
['book', 'book', 'package', 'toast']	book book package toast
['coffee', 'man', 'package', 'tea']	coffee man package tea
['boy', 'toast', 'toast', 'coffee']	boy toast toast coffee
['eggs', 'girl', 'coffee', 'book']	eggs girl coffee book
['coffee', 'pizza', 'toast', 'gift']	coffee pizza toast gift
['book', 'sugar', 'man', 'book']	book sugar man book
['pizza', 'sugar', 'coffee', 'woman']	pizza sugar coffee woman
['tea', 'sugar', 'boy', 'soup']	tea sugar boy soup
['eggs', 'man', 'man', 'toast']	eggs man man toast
['girl', 'boy', 'eggs', 'book']	girl boy eggs book
['coffee', 'tea', 'package', 'girl']	coffee tea package girl
['package', 'sugar', 'sugar', 'package']	package sugar sugar package
['boy', 'pizza', 'tea', 'coffee']	boy pizza tea coffee
['gift', 'girl', 'eggs', 'book']	gift girl eggs book
['book', 'eggs', 'man', 'coffee']	book eggs man coffee
['tea', 'letter', 'tea', 'tea']	tea letter tea tea
['book', 'soup', 'soup', 'man']	book soup soup man
['sugar', 'pizza', 'tea', 'tea']	sugar pizza tea tea
['book', 'boy', 'package', 'boy']	book boy package boy
['letter', 'letter', 'man', 'tea']	letter letter man tea
['letter', 'eggs', 'boy', 'gift']	letter eggs boy gift
['girl', 'gift', 'toast', 'gift']	girl gift toast gift
['tea', 'woman', 'girl', 'soup']	tea woman girl soup
['man', 'girl', 'toast', 'woman']	man girl toast woman
['gift', 'coffee', 'toast', 'toast']	gift coffee toast toast
['woman', 'soup', 'sugar', 'book']	woman soup sugar book
['letter', 'letter', 'toast', 'girl']	letter letter toast girl
['woman', 'sugar', 'soup', 'woman']	woman sugar soup woman
['sugar', 'package', 'man', 'soup']	sugar package man soup
['book', 'book', 'eggs', 'toast']	book book eggs toast
['woman', 'girl', 'tea', 'package']	woman girl tea package
['toast', 'soup', 'gift', 'sugar']	toast soup gift sugar
['girl', 'eggs', 'gift', 'man']	girl eggs gift man
['coffee', 'toast', 'boy', 'tea']	coffee toast boy tea
['eggs', 'eggs', 'letter', 'sugar']	eggs eggs letter sugar
['package', 'man', 'letter', 'coffee']	package man letter coffee
['coffee', 'package', 'coffee', 'package']	coffee package coffee package
['book', 'woman', 'package', 'eggs']	book woman package eggs
['tea', 'coffee', 'soup', 'man']	tea coffee soup man
['coffee', 'soup', 'eggs', 'book']	coffee soup eggs book
['coffee', 'pizza', 'boy', 'boy']	coffee pizza boy boy
['toast', 'coffee', 'package', 'sugar']	toast coffee package sugar
['boy', 'girl', 'package', 'man']	boy girl package man
['package', 'letter', 'letter', 'boy']	package letter letter boy
['letter', 'coffee', 'pizza', 'eggs']	letter coffee pizza eggs
['toast', 'sugar', 'eggs', 'gift']	toast sugar eggs gift
['book', 'package', 'sugar', 'sugar']	book package sugar sugar
['girl', 'boy', 'woman', 'soup']	girl boy woman soup
['package', 'toast', 'tea', 'girl']	package toast tea girl
['soup', 'package', 'sugar', 'coffee']	soup package sugar coffee
['package', 'pizza', 'gift', 'letter']	package pizza gift letter
['sugar', 'sugar', 'toast', 'toast']	sugar sugar toast toast
['toast', 'sugar', 'package', 'girl']	toast sugar package girl
['coffee', 'eggs', 'eggs', 'girl']	coffee eggs eggs girl
['letter', 'pizza', 'book', 'boy']	letter pizza book boy
['book', 'tea', 'gift', 'pizza']	book tea gift pizza
['eggs', 'woman', 'book', 'book']	eggs woman book book
['man', 'coffee', 'sugar', 'toast']	man coffee sugar toast
['woman', 'toast', 'tea', 'coffee']	woman toast tea coffee
['soup', 'man', 'coffee', 'toast']	soup man coffee toast
['package', 'letter', 'package', 'pizza']	package letter package pizza
['sugar', 'soup', 'package', 'toast']	sugar soup package toast
['sugar', 'coffee', 'pizza', 'eggs']	sugar coffee pizza eggs
['woman', 'eggs', 'tea', 'gift']	woman eggs tea gift
['boy', 'package', 'book', 'book']	boy package book book
['coffee', 'coffee', 'tea', 'book']	coffee coffee tea book
['package', 'man', 'package', 'letter']	package man package letter
['package', 'eggs', 'eggs', 'letter']	package eggs eggs letter
['letter', 'pizza', 'pizza', 'eggs']	letter pizza pizza eggs
['boy', 'boy', 'eggs', 'boy']	boy boy eggs boy
['tea', 'book', 'coffee', 'eggs']	tea book coffee eggs
['girl', 'pizza', 'boy', 'pizza']	girl pizza boy pizza
['boy', 'sugar', 'book', 'woman']	boy sugar book woman
['boy', 'eggs', 'girl', 'package']	boy eggs girl package
['coffee', 'man', 'toast', 'soup']	coffee man toast soup
['package', 'toast', 'package', 'boy']	package toast package boy
['girl', 'sugar', 'tea', 'toast']	girl sugar tea toast
['woman', 'coffee', 'girl', 'package']	woman coffee girl package
['gift', 'soup', 'soup', 'woman']	gift soup soup woman
['woman', 'pizza', 'toast', 'sugar']	woman pizza toast sugar
['gift', 'pizza', 'sugar', 'gift']	gift pizza sugar gift
['girl', 'man', 'woman', 'book']	girl man woman book
['tea', 'sugar', 'gift', 'woman']	tea sugar gift woman
['tea', 'coffee', 'pizza', 'coffee']	tea coffee pizza coffee
['tea', 'book', 'coffee', 'letter']	tea book coffee letter
['toast', 'package', 'tea', 'sugar']	toast package tea sugar
['coffee', 'sugar', 'pizza', 'sugar']	coffee sugar pizza sugar
['letter', 'man', 'coffee', 'eggs']	letter man coffee eggs
['woman', 'man', 'book', 'man']	woman man book man
['soup', 'man', 'boy', 'pizza']	soup man boy pizza
['sugar', 'sugar', 'pizza', 'coffee']	sugar sugar pizza coffee
['soup', 'man', 'pizza', 'coffee']	soup man pizza coffee
['man', 'coffee', 'coffee', 'sugar']	man coffee coffee sugar
['woman', 'letter', 'soup', 'toast']	woman letter soup toast
['man', 'letter', 'soup', 'gift']	man letter soup gift
['gift', 'girl', 'soup', 'coffee']	gift girl soup coffee
['book', 'pizza', 'tea', 'man']	book pizza tea man
['package', 'man', 'coffee', 'letter']	package man coffee letter
['girl', 'eggs', 'soup', 'woman']	girl eggs soup woman
['coffee', 'gift', 'eggs', 'sugar']	coffee gift eggs sugar
['coffee', 'pizza', 'coffee', 'gift']	coffee pizza coffee gift
['woman', 'tea', 'toast', 'boy']	woman tea toast boy
['eggs', 'package', 'pizza', 'pizza']	eggs package pizza pizza
['gift', 'man', 'tea', 'package']	gift man tea package
['gift', 'eggs', 'eggs', 'sugar']	gift eggs eggs sugar
['pizza', 'man', 'boy', 'package']	pizza man boy package
['tea', 'package', 'letter', 'eggs']	tea package letter eggs
['pizza', 'pizza', 'coffee', 'girl']	pizza pizza coffee girl
['toast', 'girl', 'toast', 'soup']	toast girl toast soup
['pizza', 'man', 'soup', 'package']	pizza man soup package
['gift', 'letter', 'package', 'boy']	gift letter package boy
['letter', 'toast', 'eggs', 'toast']	letter toast eggs toast
['package', 'sugar', 'sugar', 'eggs']	package sugar sugar eggs
['sugar', 'girl', 'pizza', 'letter']	sugar girl pizza letter
['gift', 'tea', 'tea', 'pizza']	gift tea tea pizza
['woman', 'soup', 'soup', 'man']	woman soup soup man
['toast', 'eggs', 'package', 'book']	toast eggs package book
['eggs', 'eggs', 'toast', 'woman']	eggs eggs toast woman
['girl', 'eggs', 'boy', 'soup']	girl eggs boy soup
['man', 'book', 'book', 'girl']	man book book girl
['toast', 'soup', 'gift', 'woman']	toast soup gift woman
['book', 'eggs', 'book', 'sugar']	book eggs book sugar
['toast', 'boy', 'toast', 'sugar']	toast boy toast sugar
['soup', 'girl', 'girl', 'toast']	soup girl girl toast
['man', 'tea', 'package', 'woman']	man tea package woman
['woman', 'book', 'sugar', 'letter']	woman book sugar letter
['coffee', 'gift', 'letter', 'eggs']	coffee gift letter eggs
['toast', 'man', 'coffee', 'soup']	toast man coffee soup
['tea', 'tea', 'package', 'package']	tea tea package package
['eggs', 'man', 'woman', 'gift']	eggs man woman gift
['girl', 'gift', 'soup', 'man']	girl gift soup man
['coffee', 'boy', 'eggs', 'toast']	coffee boy eggs toast
['boy', 'man', 'man', 'gift']	boy man man gift
['toast', 'coffee', 'woman', 'coffee']	toast coffee woman coffee
['book', 'package', 'girl', 'gift']	book package girl gift
['book', 'eggs', 'woman', 'girl']	book eggs woman girl
['girl', 'woman', 'soup', 'package']	girl woman soup package
['coffee', 'book', 'package', 'gift']	coffee book package gift
['coffee', 'soup', 'sugar', 'package']	coffee soup sugar package
['soup', 'book', 'tea', 'book']	soup book tea book
['letter', 'woman', 'package', 'toast']	letter woman package toast
['soup', 'letter', 'man', 'soup']	soup letter man soup
['soup', 'tea', 'coffee', 'sugar']	soup tea coffee sugar
['pizza', 'coffee', 'letter', 'book']	pizza coffee letter book
['soup', 'gift', 'soup', 'book']	soup gift soup book
['tea', 'tea', 'book', 'letter']	tea tea book letter
