utterance_lst	utterance_str
[8, 30, 26, 23]	8 30 26 23
[32, 1, 22, 22]	32 1 22 22
[25, 15, 2, 6]	25 15 2 6
[22, 6, 2, 13]	22 6 2 13
[17, 19, 0, 28]	17 19 0 28
[12, 28, 0, 35]	12 28 0 35
[21, 36, 36, 30]	21 36 36 30
[3, 12, 8, 28]	3 12 8 28
[7, 8, 4, 4]	7 8 4 4
[34, 36, 13, 27]	34 36 13 27
[17, 19, 13, 23]	17 19 13 23
[8, 9, 19, 7]	8 9 19 7
[16, 34, 0, 3]	16 34 0 3
[29, 2, 9, 31]	29 2 9 31
[22, 8, 2, 10]	22 8 2 10
[11, 29, 36, 29]	11 29 36 29
[33, 34, 32, 34]	33 34 32 34
[35, 3, 11, 9]	35 3 11 9
[22, 18, 12, 30]	22 18 12 30
[14, 7, 10, 17]	14 7 10 17
[22, 21, 16, 6]	22 21 16 6
[14, 12, 6, 20]	14 12 6 20
[6, 26, 24, 5]	6 26 24 5
[23, 12, 16, 22]	23 12 16 22
[28, 32, 27, 7]	28 32 27 7
[20, 12, 0, 20]	20 12 0 20
[17, 32, 11, 30]	17 32 11 30
[19, 3, 26, 10]	19 3 26 10
[19, 2, 0, 34]	19 2 0 34
[1, 5, 6, 3]	1 5 6 3
[30, 36, 24, 14]	30 36 24 14
[32, 18, 4, 25]	32 18 4 25
[13, 9, 11, 14]	13 9 11 14
[6, 22, 32, 21]	6 22 32 21
[0, 25, 0, 17]	0 25 0 17
[32, 25, 33, 27]	32 25 33 27
[10, 5, 16, 25]	10 5 16 25
[8, 12, 27, 12]	8 12 27 12
[22, 20, 34, 0]	22 20 34 0
[6, 28, 24, 3]	6 28 24 3
[4, 7, 20, 33]	4 7 20 33
[8, 7, 25, 15]	8 7 25 15
[31, 36, 34, 26]	31 36 34 26
[18, 2, 29, 14]	18 2 29 14
[17, 23, 35, 20]	17 23 35 20
[33, 35, 3, 13]	33 35 3 13
[32, 28, 35, 6]	32 28 35 6
[19, 34, 19, 24]	19 34 19 24
[36, 6, 2, 31]	36 6 2 31
[21, 7, 30, 10]	21 7 30 10
[4, 11, 1, 15]	4 11 1 15
[28, 16, 35, 1]	28 16 35 1
[6, 5, 21, 7]	6 5 21 7
[24, 19, 21, 31]	24 19 21 31
[29, 34, 5, 14]	29 34 5 14
[35, 14, 10, 17]	35 14 10 17
[6, 31, 23, 3]	6 31 23 3
[35, 19, 9, 22]	35 19 9 22
[35, 12, 0, 7]	35 12 0 7
[2, 19, 11, 31]	2 19 11 31
[7, 0, 17, 4]	7 0 17 4
[11, 8, 6, 23]	11 8 6 23
[34, 13, 23, 11]	34 13 23 11
[33, 20, 1, 27]	33 20 1 27
[7, 1, 0, 31]	7 1 0 31
[26, 13, 20, 26]	26 13 20 26
[2, 26, 26, 34]	2 26 26 34
[2, 21, 18, 31]	2 21 18 31
[13, 24, 33, 12]	13 24 33 12
[19, 33, 1, 36]	19 33 1 36
[11, 16, 10, 29]	11 16 10 29
[19, 27, 3, 32]	19 27 3 32
[30, 25, 8, 9]	30 25 8 9
[16, 2, 35, 15]	16 2 35 15
[35, 6, 23, 29]	35 6 23 29
[23, 15, 0, 16]	23 15 0 16
[14, 34, 36, 35]	14 34 36 35
[36, 6, 1, 10]	36 6 1 10
[0, 4, 21, 7]	0 4 21 7
[22, 14, 10, 35]	22 14 10 35
[6, 32, 19, 24]	6 32 19 24
[5, 27, 32, 7]	5 27 32 7
[17, 24, 17, 27]	17 24 17 27
[23, 11, 25, 28]	23 11 25 28
[17, 21, 23, 17]	17 21 23 17
[3, 15, 28, 26]	3 15 28 26
[2, 17, 21, 19]	2 17 21 19
[5, 23, 25, 19]	5 23 25 19
[34, 21, 0, 10]	34 21 0 10
[25, 2, 35, 25]	25 2 35 25
[28, 6, 0, 32]	28 6 0 32
[18, 16, 19, 28]	18 16 19 28
[13, 28, 5, 36]	13 28 5 36
[25, 11, 17, 32]	25 11 17 32
[12, 25, 33, 35]	12 25 33 35
[9, 29, 22, 29]	9 29 22 29
[2, 15, 16, 30]	2 15 16 30
[16, 1, 7, 30]	16 1 7 30
[32, 21, 2, 28]	32 21 2 28
[32, 10, 17, 10]	32 10 17 10
[1, 27, 5, 3]	1 27 5 3
[33, 3, 28, 30]	33 3 28 30
[9, 13, 8, 26]	9 13 8 26
[36, 27, 18, 19]	36 27 18 19
[15, 26, 9, 9]	15 26 9 9
[25, 9, 36, 26]	25 9 36 26
[6, 0, 22, 4]	6 0 22 4
[18, 22, 29, 14]	18 22 29 14
[20, 30, 4, 12]	20 30 4 12
[29, 13, 34, 3]	29 13 34 3
[3, 13, 17, 13]	3 13 17 13
[8, 16, 33, 34]	8 16 33 34
[23, 9, 21, 5]	23 9 21 5
[2, 29, 9, 5]	2 29 9 5
[30, 4, 8, 5]	30 4 8 5
[33, 25, 6, 2]	33 25 6 2
[33, 4, 26, 25]	33 4 26 25
[21, 17, 15, 10]	21 17 15 10
[23, 5, 17, 9]	23 5 17 9
[13, 32, 20, 23]	13 32 20 23
[23, 0, 28, 32]	23 0 28 32
[27, 19, 31, 34]	27 19 31 34
[10, 6, 12, 0]	10 6 12 0
[8, 3, 0, 14]	8 3 0 14
[0, 17, 31, 26]	0 17 31 26
[1, 26, 7, 29]	1 26 7 29
[23, 20, 16, 36]	23 20 16 36
[7, 33, 7, 3]	7 33 7 3
[7, 1, 30, 6]	7 1 30 6
[21, 10, 13, 29]	21 10 13 29
[20, 9, 27, 5]	20 9 27 5
[1, 25, 31, 28]	1 25 31 28
[25, 34, 34, 20]	25 34 34 20
[6, 21, 15, 26]	6 21 15 26
[12, 2, 7, 5]	12 2 7 5
[27, 25, 19, 11]	27 25 19 11
[26, 16, 18, 7]	26 16 18 7
[36, 16, 17, 7]	36 16 17 7
[16, 17, 15, 27]	16 17 15 27
[12, 23, 24, 5]	12 23 24 5
[30, 2, 9, 30]	30 2 9 30
[4, 10, 15, 34]	4 10 15 34
[35, 8, 23, 30]	35 8 23 30
[19, 11, 5, 2]	19 11 5 2
[1, 1, 26, 21]	1 1 26 21
[2, 34, 36, 15]	2 34 36 15
[13, 32, 24, 27]	13 32 24 27
[6, 26, 16, 2]	6 26 16 2
[1, 9, 8, 9]	1 9 8 9
[33, 14, 7, 3]	33 14 7 3
[2, 15, 15, 2]	2 15 15 2
[19, 12, 0, 17]	19 12 0 17
[5, 6, 27, 15]	5 6 27 15
[13, 20, 27, 23]	13 20 27 23
[35, 26, 12, 35]	35 26 12 35
[0, 6, 4, 14]	0 6 4 14
[13, 14, 23, 12]	13 14 23 12
[17, 25, 34, 35]	17 25 34 35
[13, 14, 36, 31]	13 14 36 31
[32, 4, 10, 15]	32 4 10 15
[11, 17, 34, 14]	11 17 34 14
[18, 11, 21, 20]	18 11 21 20
[6, 2, 27, 30]	6 2 27 30
[12, 7, 3, 23]	12 7 3 23
[21, 34, 25, 21]	21 34 25 21
[21, 33, 34, 6]	21 33 34 6
[4, 4, 0, 31]	4 4 0 31
[35, 18, 28, 24]	35 18 28 24
[24, 14, 35, 11]	24 14 35 11
[3, 1, 29, 28]	3 1 29 28
[31, 29, 8, 13]	31 29 8 13
[10, 31, 0, 11]	10 31 0 11
[24, 23, 0, 4]	24 23 0 4
[6, 8, 18, 1]	6 8 18 1
[30, 17, 24, 13]	30 17 24 13
[31, 3, 32, 9]	31 3 32 9
[19, 20, 24, 20]	19 20 24 20
[26, 1, 19, 18]	26 1 19 18
[22, 3, 26, 3]	22 3 26 3
[1, 1, 36, 5]	1 1 36 5
[25, 2, 22, 8]	25 2 22 8
[22, 27, 25, 20]	22 27 25 20
[26, 0, 2, 8]	26 0 2 8
[16, 28, 0, 7]	16 28 0 7
[19, 12, 3, 10]	19 12 3 10
[0, 0, 31, 11]	0 0 31 11
[26, 9, 27, 32]	26 9 27 32
[0, 22, 33, 28]	0 22 33 28
[4, 27, 27, 5]	4 27 27 5
[24, 23, 7, 30]	24 23 7 30
[31, 2, 17, 21]	31 2 17 21
[0, 19, 34, 12]	0 19 34 12
[18, 34, 32, 35]	18 34 32 35
[3, 36, 12, 13]	3 36 12 13
[6, 29, 21, 16]	6 29 21 16
[18, 18, 21, 5]	18 18 21 5
[26, 9, 0, 35]	26 9 0 35
[3, 29, 28, 15]	3 29 28 15
[22, 8, 7, 32]	22 8 7 32
[27, 28, 16, 1]	27 28 16 1
[28, 35, 11, 23]	28 35 11 23
[5, 35, 26, 2]	5 35 26 2
[25, 25, 16, 21]	25 25 16 21
[34, 25, 17, 35]	34 25 17 35
[23, 28, 20, 27]	23 28 20 27
[28, 18, 17, 7]	28 18 17 7
[24, 26, 15, 2]	24 26 15 2
[26, 23, 23, 5]	26 23 23 5
[32, 26, 29, 5]	32 26 29 5
[10, 19, 0, 36]	10 19 0 36
[6, 5, 29, 8]	6 5 29 8
[21, 24, 7, 1]	21 24 7 1
[26, 32, 29, 3]	26 32 29 3
[12, 16, 1, 32]	12 16 1 32
[30, 35, 33, 30]	30 35 33 30
[11, 24, 32, 0]	11 24 32 0
[2, 36, 3, 33]	2 36 3 33
[14, 9, 13, 32]	14 9 13 32
[23, 4, 30, 12]	23 4 30 12
[30, 18, 31, 20]	30 18 31 20
[13, 36, 36, 20]	13 36 36 20
[19, 22, 24, 10]	19 22 24 10
[34, 15, 36, 21]	34 15 36 21
[33, 34, 10, 1]	33 34 10 1
[21, 21, 12, 13]	21 21 12 13
[10, 3, 16, 19]	10 3 16 19
[16, 31, 16, 27]	16 31 16 27
[27, 18, 17, 8]	27 18 17 8
[25, 32, 35, 29]	25 32 35 29
[35, 21, 16, 36]	35 21 16 36
[24, 2, 31, 22]	24 2 31 22
[31, 15, 23, 22]	31 15 23 22
[22, 32, 14, 24]	22 32 14 24
[34, 3, 31, 25]	34 3 31 25
[16, 1, 18, 6]	16 1 18 6
[7, 18, 23, 34]	7 18 23 34
[23, 28, 20, 0]	23 28 20 0
[12, 4, 22, 11]	12 4 22 11
[22, 12, 1, 8]	22 12 1 8
[34, 16, 24, 19]	34 16 24 19
[17, 25, 33, 23]	17 25 33 23
[29, 12, 10, 0]	29 12 10 0
[19, 2, 9, 17]	19 2 9 17
[13, 7, 15, 33]	13 7 15 33
[20, 24, 36, 23]	20 24 36 23
[35, 25, 29, 22]	35 25 29 22
[36, 20, 12, 24]	36 20 12 24
[3, 15, 34, 5]	3 15 34 5
[15, 11, 22, 31]	15 11 22 31
[11, 21, 1, 8]	11 21 1 8
[15, 23, 32, 32]	15 23 32 32
[18, 9, 30, 31]	18 9 30 31
[29, 24, 23, 14]	29 24 23 14
[21, 13, 26, 32]	21 13 26 32
[11, 27, 3, 3]	11 27 3 3
[6, 10, 16, 14]	6 10 16 14
[33, 1, 32, 8]	33 1 32 8
[11, 17, 16, 21]	11 17 16 21
[1, 21, 1, 6]	1 21 1 6
[10, 18, 26, 1]	10 18 26 1
[1, 15, 8, 26]	1 15 8 26
[30, 33, 36, 35]	30 33 36 35
[8, 20, 4, 20]	8 20 4 20
[25, 23, 36, 13]	25 23 36 13
[15, 33, 29, 6]	15 33 29 6
[14, 28, 2, 30]	14 28 2 30
[33, 23, 4, 20]	33 23 4 20
[5, 32, 9, 1]	5 32 9 1
[16, 8, 31, 6]	16 8 31 6
[4, 13, 16, 19]	4 13 16 19
[35, 14, 32, 4]	35 14 32 4
[17, 32, 30, 23]	17 32 30 23
[3, 36, 13, 24]	3 36 13 24
[3, 3, 15, 29]	3 3 15 29
[27, 14, 9, 21]	27 14 9 21
[16, 9, 4, 2]	16 9 4 2
[3, 28, 35, 29]	3 28 35 29
[24, 16, 10, 17]	24 16 10 17
[14, 30, 35, 14]	14 30 35 14
[10, 27, 34, 35]	10 27 34 35
[36, 29, 30, 17]	36 29 30 17
[25, 7, 36, 8]	25 7 36 8
[28, 29, 32, 13]	28 29 32 13
[18, 0, 32, 21]	18 0 32 21
[5, 12, 14, 17]	5 12 14 17
[11, 9, 19, 27]	11 9 19 27
[17, 16, 14, 34]	17 16 14 34
[28, 25, 2, 28]	28 25 2 28
[16, 25, 17, 3]	16 25 17 3
[20, 26, 6, 22]	20 26 6 22
[9, 0, 1, 14]	9 0 1 14
[9, 6, 12, 29]	9 6 12 29
[18, 21, 33, 8]	18 21 33 8
[33, 25, 26, 34]	33 25 26 34
[5, 14, 19, 19]	5 14 19 19
[36, 8, 10, 28]	36 8 10 28
[29, 11, 1, 18]	29 11 1 18
[20, 31, 21, 20]	20 31 21 20
[28, 24, 23, 0]	28 24 23 0
[26, 16, 20, 20]	26 16 20 20
[28, 6, 32, 5]	28 6 32 5
[30, 31, 1, 20]	30 31 1 20
[30, 11, 5, 34]	30 11 5 34
[8, 36, 12, 34]	8 36 12 34
[20, 2, 8, 22]	20 2 8 22
[0, 8, 13, 3]	0 8 13 3
[34, 19, 13, 13]	34 19 13 13
[4, 22, 24, 27]	4 22 24 27
[31, 31, 13, 8]	31 31 13 8
[3, 25, 23, 4]	3 25 23 4
[26, 32, 1, 23]	26 32 1 23
[28, 27, 10, 13]	28 27 10 13
[3, 8, 21, 33]	3 8 21 33
[12, 24, 34, 26]	12 24 34 26
[7, 12, 34, 0]	7 12 34 0
[18, 13, 6, 20]	18 13 6 20
[11, 10, 30, 25]	11 10 30 25
[32, 0, 29, 17]	32 0 29 17
[18, 34, 19, 33]	18 34 19 33
[29, 2, 32, 11]	29 2 32 11
[19, 18, 23, 2]	19 18 23 2
[19, 24, 10, 29]	19 24 10 29
[19, 16, 6, 6]	19 16 6 6
[13, 17, 34, 25]	13 17 34 25
[5, 8, 33, 1]	5 8 33 1
[34, 29, 31, 6]	34 29 31 6
[31, 18, 16, 9]	31 18 16 9
[12, 25, 10, 35]	12 25 10 35
[28, 32, 24, 27]	28 32 24 27
[9, 5, 3, 23]	9 5 3 23
[33, 13, 20, 9]	33 13 20 9
[24, 33, 26, 17]	24 33 26 17
[33, 16, 35, 30]	33 16 35 30
[26, 24, 14, 14]	26 24 14 14
[12, 25, 32, 7]	12 25 32 7
[18, 10, 11, 7]	18 10 11 7
[31, 16, 29, 6]	31 16 29 6
[27, 20, 34, 15]	27 20 34 15
[11, 2, 29, 28]	11 2 29 28
[0, 18, 25, 13]	0 18 25 13
[4, 13, 21, 17]	4 13 21 17
[23, 0, 17, 14]	23 0 17 14
[33, 30, 32, 16]	33 30 32 16
[27, 24, 32, 14]	27 24 32 14
[25, 18, 15, 10]	25 18 15 10
[3, 11, 20, 35]	3 11 20 35
[6, 32, 29, 27]	6 32 29 27
[17, 17, 21, 28]	17 17 21 28
[32, 0, 32, 29]	32 0 32 29
[32, 11, 11, 31]	32 11 11 31
[31, 15, 15, 10]	31 15 15 10
[5, 6, 11, 6]	5 6 11 6
[22, 28, 19, 10]	22 28 19 10
[8, 17, 6, 15]	8 17 6 15
[5, 26, 27, 3]	5 26 27 3
[5, 12, 7, 33]	5 12 7 33
[17, 0, 13, 24]	17 0 13 24
[33, 12, 33, 6]	33 12 33 6
[9, 26, 22, 14]	9 26 22 14
[4, 19, 8, 33]	4 19 8 33
[35, 24, 22, 3]	35 24 22 3
[3, 15, 14, 25]	3 15 14 25
[34, 17, 26, 36]	34 17 26 36
[8, 1, 4, 28]	8 1 4 28
[20, 26, 35, 4]	20 26 35 4
[22, 18, 17, 18]	22 18 17 18
[20, 28, 19, 30]	20 28 19 30
[13, 33, 21, 25]	13 33 21 25
[18, 25, 16, 25]	18 25 16 25
[30, 0, 17, 11]	30 0 17 11
[2, 2, 27, 1]	2 2 27 1
[24, 2, 6, 16]	24 2 6 16
[26, 26, 15, 18]	26 26 15 18
[23, 1, 15, 17]	23 1 15 17
[0, 19, 18, 26]	0 19 18 26
[4, 30, 23, 12]	4 30 23 12
[1, 30, 23, 36]	1 30 23 36
[36, 9, 23, 18]	36 9 23 18
[28, 15, 20, 1]	28 15 20 1
[34, 1, 17, 30]	34 1 17 30
[8, 10, 24, 3]	8 10 24 3
[18, 36, 9, 26]	18 36 9 26
[18, 15, 18, 36]	18 15 18 36
[4, 21, 13, 5]	4 21 13 5
[11, 32, 17, 16]	11 32 17 16
[35, 1, 21, 33]	35 1 21 33
[36, 11, 11, 27]	36 11 11 27
[17, 2, 5, 32]	17 2 5 32
[20, 32, 29, 11]	20 32 29 11
[15, 14, 17, 9]	15 14 17 9
[13, 9, 13, 24]	13 9 13 24
[17, 2, 22, 34]	17 2 22 34
[35, 29, 32, 6]	35 29 32 6
[29, 13, 11, 14]	29 13 11 14
[34, 26, 25, 11]	34 26 25 11
[26, 7, 16, 29]	26 7 16 29
[36, 21, 20, 15]	36 21 20 15
[4, 23, 22, 1]	4 23 22 1
[12, 11, 33, 29]	12 11 33 29
[10, 11, 12, 4]	10 11 12 4
[9, 9, 6, 24]	9 9 6 24
[2, 29, 27, 9]	2 29 27 9
[13, 22, 35, 4]	13 22 35 4
[28, 10, 28, 26]	28 10 28 26
[13, 6, 12, 25]	13 6 12 25
[23, 7, 9, 14]	23 7 9 14
[0, 21, 32, 3]	0 21 32 3
[2, 27, 26, 31]	2 27 26 31
[17, 35, 31, 11]	17 35 31 11
[13, 1, 19, 23]	13 1 19 23
[20, 20, 33, 33]	20 20 33 33
[10, 1, 4, 35]	10 1 4 35
[9, 35, 23, 0]	9 35 23 0
[17, 7, 12, 13]	17 7 12 13
[7, 0, 1, 35]	7 0 1 35
[14, 19, 3, 17]	14 19 3 17
[28, 33, 9, 36]	28 33 9 36
[27, 11, 4, 9]	27 11 4 9
[8, 4, 22, 32]	8 4 22 32
[18, 28, 32, 36]	18 28 32 36
[19, 23, 25, 33]	19 23 25 33
[24, 27, 21, 29]	24 27 21 29
[30, 4, 34, 14]	30 4 34 14
[23, 29, 2, 23]	23 29 2 23
[24, 20, 19, 25]	24 20 19 25
[16, 19, 31, 28]	16 19 31 28
[23, 35, 24, 27]	23 35 24 27
[22, 21, 28, 31]	22 21 28 31
[18, 1, 14, 11]	18 1 14 11
[31, 27, 25, 30]	31 27 25 30
[19, 17, 1, 15]	19 17 1 15
[28, 6, 19, 10]	28 6 19 10
[8, 9, 9, 26]	8 9 9 26
[9, 33, 1, 36]	9 33 1 36
[30, 33, 9, 0]	30 33 9 0
[28, 19, 6, 32]	28 19 6 32
[11, 6, 29, 26]	11 6 29 26
[6, 10, 21, 24]	6 10 21 24
[30, 6, 34, 11]	30 6 34 11
[6, 26, 21, 19]	6 26 21 19
[20, 25, 21, 14]	20 25 21 14
[12, 5, 3, 12]	12 5 3 12
[3, 29, 1, 22]	3 29 1 22
[18, 31, 24, 15]	18 31 24 15
[7, 22, 4, 8]	7 22 4 8
[32, 31, 34, 34]	32 31 34 34
[20, 3, 26, 32]	20 3 26 32
[3, 15, 30, 8]	3 15 30 8
[10, 10, 32, 1]	10 10 32 1
[5, 11, 17, 18]	5 11 17 18
[35, 1, 11, 19]	35 1 11 19
[2, 10, 35, 36]	2 10 35 36
[21, 35, 9, 29]	21 35 9 29
