utterance_str	utterance_lst	orig_utterance_str	orig_utterance_lst
man mailed book gift	['man', 'mailed', 'book', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed letter gift	['man', 'mailed', 'letter', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed package gift	['man', 'mailed', 'package', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed gift gift	['man', 'mailed', 'gift', 'gift']	man mailed boy gift	['man', 'mailed', 'boy', 'gift']
man mailed eggs letter	['man', 'mailed', 'eggs', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed toast letter	['man', 'mailed', 'toast', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed pizza letter	['man', 'mailed', 'pizza', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed coffee letter	['man', 'mailed', 'coffee', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed tea letter	['man', 'mailed', 'tea', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed soup letter	['man', 'mailed', 'soup', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed sugar letter	['man', 'mailed', 'sugar', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed book letter	['man', 'mailed', 'book', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed letter letter	['man', 'mailed', 'letter', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed package letter	['man', 'mailed', 'package', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed gift letter	['man', 'mailed', 'gift', 'letter']	man mailed girl letter	['man', 'mailed', 'girl', 'letter']
man mailed eggs package	['man', 'mailed', 'eggs', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed toast package	['man', 'mailed', 'toast', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed pizza package	['man', 'mailed', 'pizza', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed coffee package	['man', 'mailed', 'coffee', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed tea package	['man', 'mailed', 'tea', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed soup package	['man', 'mailed', 'soup', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed sugar package	['man', 'mailed', 'sugar', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed book package	['man', 'mailed', 'book', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed letter package	['man', 'mailed', 'letter', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed package package	['man', 'mailed', 'package', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed gift package	['man', 'mailed', 'gift', 'package']	man mailed girl package	['man', 'mailed', 'girl', 'package']
man mailed eggs gift	['man', 'mailed', 'eggs', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed toast gift	['man', 'mailed', 'toast', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed pizza gift	['man', 'mailed', 'pizza', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed coffee gift	['man', 'mailed', 'coffee', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed tea gift	['man', 'mailed', 'tea', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed soup gift	['man', 'mailed', 'soup', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed sugar gift	['man', 'mailed', 'sugar', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed book gift	['man', 'mailed', 'book', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed letter gift	['man', 'mailed', 'letter', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed package gift	['man', 'mailed', 'package', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
man mailed gift gift	['man', 'mailed', 'gift', 'gift']	man mailed girl gift	['man', 'mailed', 'girl', 'gift']
woman mailed eggs letter	['woman', 'mailed', 'eggs', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed toast letter	['woman', 'mailed', 'toast', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed pizza letter	['woman', 'mailed', 'pizza', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed coffee letter	['woman', 'mailed', 'coffee', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed tea letter	['woman', 'mailed', 'tea', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed soup letter	['woman', 'mailed', 'soup', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed sugar letter	['woman', 'mailed', 'sugar', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed book letter	['woman', 'mailed', 'book', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed letter letter	['woman', 'mailed', 'letter', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed package letter	['woman', 'mailed', 'package', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed gift letter	['woman', 'mailed', 'gift', 'letter']	woman mailed boy letter	['woman', 'mailed', 'boy', 'letter']
woman mailed eggs package	['woman', 'mailed', 'eggs', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed toast package	['woman', 'mailed', 'toast', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed pizza package	['woman', 'mailed', 'pizza', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed coffee package	['woman', 'mailed', 'coffee', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed tea package	['woman', 'mailed', 'tea', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed soup package	['woman', 'mailed', 'soup', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed sugar package	['woman', 'mailed', 'sugar', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed book package	['woman', 'mailed', 'book', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed letter package	['woman', 'mailed', 'letter', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed package package	['woman', 'mailed', 'package', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed gift package	['woman', 'mailed', 'gift', 'package']	woman mailed boy package	['woman', 'mailed', 'boy', 'package']
woman mailed eggs gift	['woman', 'mailed', 'eggs', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed toast gift	['woman', 'mailed', 'toast', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed pizza gift	['woman', 'mailed', 'pizza', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed coffee gift	['woman', 'mailed', 'coffee', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed tea gift	['woman', 'mailed', 'tea', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed soup gift	['woman', 'mailed', 'soup', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed sugar gift	['woman', 'mailed', 'sugar', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed book gift	['woman', 'mailed', 'book', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed letter gift	['woman', 'mailed', 'letter', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed package gift	['woman', 'mailed', 'package', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed gift gift	['woman', 'mailed', 'gift', 'gift']	woman mailed boy gift	['woman', 'mailed', 'boy', 'gift']
woman mailed eggs letter	['woman', 'mailed', 'eggs', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed toast letter	['woman', 'mailed', 'toast', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed pizza letter	['woman', 'mailed', 'pizza', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed coffee letter	['woman', 'mailed', 'coffee', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed tea letter	['woman', 'mailed', 'tea', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed soup letter	['woman', 'mailed', 'soup', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed sugar letter	['woman', 'mailed', 'sugar', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed book letter	['woman', 'mailed', 'book', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed letter letter	['woman', 'mailed', 'letter', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed package letter	['woman', 'mailed', 'package', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed gift letter	['woman', 'mailed', 'gift', 'letter']	woman mailed girl letter	['woman', 'mailed', 'girl', 'letter']
woman mailed eggs package	['woman', 'mailed', 'eggs', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed toast package	['woman', 'mailed', 'toast', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed pizza package	['woman', 'mailed', 'pizza', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed coffee package	['woman', 'mailed', 'coffee', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed tea package	['woman', 'mailed', 'tea', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed soup package	['woman', 'mailed', 'soup', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed sugar package	['woman', 'mailed', 'sugar', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed book package	['woman', 'mailed', 'book', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed letter package	['woman', 'mailed', 'letter', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed package package	['woman', 'mailed', 'package', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed gift package	['woman', 'mailed', 'gift', 'package']	woman mailed girl package	['woman', 'mailed', 'girl', 'package']
woman mailed eggs gift	['woman', 'mailed', 'eggs', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed toast gift	['woman', 'mailed', 'toast', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed pizza gift	['woman', 'mailed', 'pizza', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed coffee gift	['woman', 'mailed', 'coffee', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed tea gift	['woman', 'mailed', 'tea', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed soup gift	['woman', 'mailed', 'soup', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed sugar gift	['woman', 'mailed', 'sugar', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed book gift	['woman', 'mailed', 'book', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed letter gift	['woman', 'mailed', 'letter', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed package gift	['woman', 'mailed', 'package', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
woman mailed gift gift	['woman', 'mailed', 'gift', 'gift']	woman mailed girl gift	['woman', 'mailed', 'girl', 'gift']
man lent eggs coffee	['man', 'lent', 'eggs', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent toast coffee	['man', 'lent', 'toast', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent pizza coffee	['man', 'lent', 'pizza', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent coffee coffee	['man', 'lent', 'coffee', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent tea coffee	['man', 'lent', 'tea', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent soup coffee	['man', 'lent', 'soup', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent sugar coffee	['man', 'lent', 'sugar', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent book coffee	['man', 'lent', 'book', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent letter coffee	['man', 'lent', 'letter', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent package coffee	['man', 'lent', 'package', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent gift coffee	['man', 'lent', 'gift', 'coffee']	man lent man coffee	['man', 'lent', 'man', 'coffee']
man lent eggs tea	['man', 'lent', 'eggs', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent toast tea	['man', 'lent', 'toast', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent pizza tea	['man', 'lent', 'pizza', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent coffee tea	['man', 'lent', 'coffee', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent tea tea	['man', 'lent', 'tea', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent soup tea	['man', 'lent', 'soup', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent sugar tea	['man', 'lent', 'sugar', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent book tea	['man', 'lent', 'book', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent letter tea	['man', 'lent', 'letter', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent package tea	['man', 'lent', 'package', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent gift tea	['man', 'lent', 'gift', 'tea']	man lent man tea	['man', 'lent', 'man', 'tea']
man lent eggs sugar	['man', 'lent', 'eggs', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent toast sugar	['man', 'lent', 'toast', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent pizza sugar	['man', 'lent', 'pizza', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent coffee sugar	['man', 'lent', 'coffee', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent tea sugar	['man', 'lent', 'tea', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent soup sugar	['man', 'lent', 'soup', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent sugar sugar	['man', 'lent', 'sugar', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent book sugar	['man', 'lent', 'book', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent letter sugar	['man', 'lent', 'letter', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent package sugar	['man', 'lent', 'package', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent gift sugar	['man', 'lent', 'gift', 'sugar']	man lent man sugar	['man', 'lent', 'man', 'sugar']
man lent eggs book	['man', 'lent', 'eggs', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent toast book	['man', 'lent', 'toast', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent pizza book	['man', 'lent', 'pizza', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent coffee book	['man', 'lent', 'coffee', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent tea book	['man', 'lent', 'tea', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent soup book	['man', 'lent', 'soup', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent sugar book	['man', 'lent', 'sugar', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent book book	['man', 'lent', 'book', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent letter book	['man', 'lent', 'letter', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent package book	['man', 'lent', 'package', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent gift book	['man', 'lent', 'gift', 'book']	man lent man book	['man', 'lent', 'man', 'book']
man lent eggs coffee	['man', 'lent', 'eggs', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent toast coffee	['man', 'lent', 'toast', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent pizza coffee	['man', 'lent', 'pizza', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent coffee coffee	['man', 'lent', 'coffee', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent tea coffee	['man', 'lent', 'tea', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent soup coffee	['man', 'lent', 'soup', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent sugar coffee	['man', 'lent', 'sugar', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent book coffee	['man', 'lent', 'book', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent letter coffee	['man', 'lent', 'letter', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent package coffee	['man', 'lent', 'package', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent gift coffee	['man', 'lent', 'gift', 'coffee']	man lent woman coffee	['man', 'lent', 'woman', 'coffee']
man lent eggs tea	['man', 'lent', 'eggs', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent toast tea	['man', 'lent', 'toast', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent pizza tea	['man', 'lent', 'pizza', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent coffee tea	['man', 'lent', 'coffee', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent tea tea	['man', 'lent', 'tea', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent soup tea	['man', 'lent', 'soup', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent sugar tea	['man', 'lent', 'sugar', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent book tea	['man', 'lent', 'book', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent letter tea	['man', 'lent', 'letter', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent package tea	['man', 'lent', 'package', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent gift tea	['man', 'lent', 'gift', 'tea']	man lent woman tea	['man', 'lent', 'woman', 'tea']
man lent eggs sugar	['man', 'lent', 'eggs', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent toast sugar	['man', 'lent', 'toast', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent pizza sugar	['man', 'lent', 'pizza', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent coffee sugar	['man', 'lent', 'coffee', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent tea sugar	['man', 'lent', 'tea', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent soup sugar	['man', 'lent', 'soup', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent sugar sugar	['man', 'lent', 'sugar', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent book sugar	['man', 'lent', 'book', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent letter sugar	['man', 'lent', 'letter', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent package sugar	['man', 'lent', 'package', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent gift sugar	['man', 'lent', 'gift', 'sugar']	man lent woman sugar	['man', 'lent', 'woman', 'sugar']
man lent eggs book	['man', 'lent', 'eggs', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent toast book	['man', 'lent', 'toast', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent pizza book	['man', 'lent', 'pizza', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent coffee book	['man', 'lent', 'coffee', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent tea book	['man', 'lent', 'tea', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent soup book	['man', 'lent', 'soup', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent sugar book	['man', 'lent', 'sugar', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent book book	['man', 'lent', 'book', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent letter book	['man', 'lent', 'letter', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent package book	['man', 'lent', 'package', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
man lent gift book	['man', 'lent', 'gift', 'book']	man lent woman book	['man', 'lent', 'woman', 'book']
woman lent eggs coffee	['woman', 'lent', 'eggs', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent toast coffee	['woman', 'lent', 'toast', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent pizza coffee	['woman', 'lent', 'pizza', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent coffee coffee	['woman', 'lent', 'coffee', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent tea coffee	['woman', 'lent', 'tea', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent soup coffee	['woman', 'lent', 'soup', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent sugar coffee	['woman', 'lent', 'sugar', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent book coffee	['woman', 'lent', 'book', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent letter coffee	['woman', 'lent', 'letter', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent package coffee	['woman', 'lent', 'package', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent gift coffee	['woman', 'lent', 'gift', 'coffee']	woman lent man coffee	['woman', 'lent', 'man', 'coffee']
woman lent eggs tea	['woman', 'lent', 'eggs', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent toast tea	['woman', 'lent', 'toast', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent pizza tea	['woman', 'lent', 'pizza', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent coffee tea	['woman', 'lent', 'coffee', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent tea tea	['woman', 'lent', 'tea', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent soup tea	['woman', 'lent', 'soup', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent sugar tea	['woman', 'lent', 'sugar', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent book tea	['woman', 'lent', 'book', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent letter tea	['woman', 'lent', 'letter', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent package tea	['woman', 'lent', 'package', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent gift tea	['woman', 'lent', 'gift', 'tea']	woman lent man tea	['woman', 'lent', 'man', 'tea']
woman lent eggs sugar	['woman', 'lent', 'eggs', 'sugar']	woman lent man sugar	['woman', 'lent', 'man', 'sugar']
